"AppTitle"	"AppID"	"TaskID"	"TaskText"	"RecordID"	"Record"	"Note"	"Answer"	"Fuzzy"	"Review"
"Basic SIR Model"	1	1	"A) Run the simulation with 1000 susceptible individuals and 1 initially infected host, no recovered. Set simulation duration to 100 days, start time and time step can remain at 0 and 0.1. Set recovery rate _g_=0.5 per day, and infectiousness _b_=0.001. You will get an outbreak of some - currently unspecified - infectious disease. If you did it correctly, your outbreak should end with around 203 uninfected individuals still remaining.
B) Also take a look at the final number of infected. You'll see that it is at _3E-9_, i.e. much less than 1 but not 0. That's the issue discussed above in the notes, that for ODE models, numbers can drop below 1, and then can slowly go to 0 but not fully reach 0. Often, this biologically unreasonable feature of these kinds of models can be ignored, but sometimes it matters. You will learn more about this in the apps under the \"Stochastic models\" section."	"T1R1"	"Total number of recovered at end of outbreak"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	2	"A) Switch the plotting to have x-axis, y-axis or both plotted on a log scale. Leave all other settings as before.
C) Note that while the look of the plot changes a lot, nothing has changed about the underlying simulation. The results are exactly the same in each case, only plotted differently. This is something to be aware of when you see plots in papers or produce your own. The best plot to use is the one that shows results of interest in the clearest form. Usually, the x-axis is linear and the y-axis is either linear or logarithmic.
D) Try again switching between ggplot and plotly as plotting engine."	"T2R2"	"Nothing"	""	""	0	0
"Basic SIR Model"	1	3	"A) From the graph, get a (rough) estimate of the day at which the outbreak peaks. That's easiest done when you make a plotly plot.
B) Contemplate the fact that the outbreak ends even though there are still susceptible remaining, i.e. not everyone got infected. Do you find that surprising? How could you maybe explain that? This topic is discussed in more detail in the reproductive number app. 
C) You have no infected left at the end of the outbreak. Figure out how you can use the information from either the susceptibles or recovered left at the end of the outbreak to figure out how many people in total got infected during the outbreak.
D) Rerun the simulation, with the same values you just had. Does anything change? Why (not)?"	"T3R3"	"Day the outbreak peaked"	"Report the rounded integer"	""	1	0
"Basic SIR Model"	1	3	"A) From the graph, get a (rough) estimate of the day at which the outbreak peaks. That's easiest done when you make a plotly plot.
B) Contemplate the fact that the outbreak ends even though there are still susceptible remaining, i.e. not everyone got infected. Do you find that surprising? How could you maybe explain that? This topic is discussed in more detail in the reproductive number app. 
C) You have no infected left at the end of the outbreak. Figure out how you can use the information from either the susceptibles or recovered left at the end of the outbreak to figure out how many people in total got infected during the outbreak.
D) Rerun the simulation, with the same values you just had. Does anything change? Why (not)?"	"T3R4"	"Total number infected at end of outbreak"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	4	"A) Set \"Models to run\" to \"both\", which runs and shows both the continuous-time and discrete-time models. Start with a discrete-time step of 0.01. Leave all other settings as before. Run the simulation, see what you get. You should see the results from the 2 models essentially on top of each other and barely distinguishable."	"T4R5"	"Number of susceptible at end of outbreak for continuous-time model"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	4	"A) Set \"Models to run\" to \"both\", which runs and shows both the continuous-time and discrete-time models. Start with a discrete-time step of 0.01. Leave all other settings as before. Run the simulation, see what you get. You should see the results from the 2 models essentially on top of each other and barely distinguishable."	"T4R6"	"Number of susceptible at end of outbreak for discrete-time model"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	5	"
A) Now try different values for _dt_. Leave all other settings as before. You should notice that as _dt_ gets larger, the differences between discrete-time and continuous-time models increase. At some point when the time-step gets too large, the discrete-time simulation 'crashes' and you get an error message. This doesn't impact the continuous/ODE simulation since it chooses its time-step during the simulation internally and _dt_ only affects the times for which the results are returned."	"T5R7"	"Number of susceptible left at end of outbreak for continuous-time model dt=1"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	5	"
A) Now try different values for _dt_. Leave all other settings as before. You should notice that as _dt_ gets larger, the differences between discrete-time and continuous-time models increase. At some point when the time-step gets too large, the discrete-time simulation 'crashes' and you get an error message. This doesn't impact the continuous/ODE simulation since it chooses its time-step during the simulation internally and _dt_ only affects the times for which the results are returned."	"T5R8"	"Number of susceptible left at end of outbreak for discrete-time model dt=1"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	6	"
A) Go back to running the ODE model only. Set all parameters as described in task 1. Then double the value of the transmission rate, _b_. Compared to what you found in the previous task, how do you expect the min/max and number/fraction of S/I/R at the end of the outbreak to change? What about the time at which the outbreak peaks? Run the simulation with the doubled transmission rate. Compare your expectations with the results. How do they agree/disagree? Does it make sense? Anything surprising happening?"	"T6R9"	"Number of susceptible at end of outbreak"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	6	"
A) Go back to running the ODE model only. Set all parameters as described in task 1. Then double the value of the transmission rate, _b_. Compared to what you found in the previous task, how do you expect the min/max and number/fraction of S/I/R at the end of the outbreak to change? What about the time at which the outbreak peaks? Run the simulation with the doubled transmission rate. Compare your expectations with the results. How do they agree/disagree? Does it make sense? Anything surprising happening?"	"T6R10"	"Number of recovered at end of outbreak"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	6	"
A) Go back to running the ODE model only. Set all parameters as described in task 1. Then double the value of the transmission rate, _b_. Compared to what you found in the previous task, how do you expect the min/max and number/fraction of S/I/R at the end of the outbreak to change? What about the time at which the outbreak peaks? Run the simulation with the doubled transmission rate. Compare your expectations with the results. How do they agree/disagree? Does it make sense? Anything surprising happening?"	"T6R11"	"Day the outbreak peaked"	"Report the rounded integer"	""	1	0
"Basic SIR Model"	1	7	"A) Double the rate of recovery, _g_, leave everything else as previously. How do you expect the results to change? (Try to make your prediction as precise/quantitative as you can.) Run the simulation with these new parameter settings. Compare your expectations with the results. How do they agree/disagree? Does it make sense? Anything surprising happening?"	"T7R12"	"Number of susceptible at end of outbreak"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	7	"A) Double the rate of recovery, _g_, leave everything else as previously. How do you expect the results to change? (Try to make your prediction as precise/quantitative as you can.) Run the simulation with these new parameter settings. Compare your expectations with the results. How do they agree/disagree? Does it make sense? Anything surprising happening?"	"T7R13"	"Number of recovered at end of outbreak"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	7	"A) Double the rate of recovery, _g_, leave everything else as previously. How do you expect the results to change? (Try to make your prediction as precise/quantitative as you can.) Run the simulation with these new parameter settings. Compare your expectations with the results. How do they agree/disagree? Does it make sense? Anything surprising happening?"	"T7R14"	"Is there a peak for the outbreak"	"Report TRUE or FALSE"	""	0	0
"Basic SIR Model"	1	8	"A) Double the number of susceptibles, _S~0~_, leave everything else as you just had. How do you expect the results to change? Run the simulation with these new parameter settings. Compare your expectations with what results. How do they agree/disagree? Does it make sense? Anything surprising happening?"	"T8R15"	"Number of susceptible at end of outbreak"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	8	"A) Double the number of susceptibles, _S~0~_, leave everything else as you just had. How do you expect the results to change? Run the simulation with these new parameter settings. Compare your expectations with what results. How do they agree/disagree? Does it make sense? Anything surprising happening?"	"T8R16"	"Number of recovered at end of outbreak"	"Report the rounded integer"	""	0	0
"Basic SIR Model"	1	8	"A) Double the number of susceptibles, _S~0~_, leave everything else as you just had. How do you expect the results to change? Run the simulation with these new parameter settings. Compare your expectations with what results. How do they agree/disagree? Does it make sense? Anything surprising happening?"	"T8R17"	"Is there a peak for the outbreak"	"Report TRUE or FALSE"	""	0	0
