"QuizID"	"AppTitle"	"AppID"	"TaskID"	"TaskText"	"RecordID"	"Record"	"Type"	"Note"	"Answer"	"Fuzzy"	"Review"
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	1	"A) Set the model parameters to the following: susceptible _S~0~_ = 500, and initially untreated infected host _I~u0~_ = 1. No other infected hosts _I~t0~_ = 0 and _I~r0~_ = 0. Set simulation duration, _tmax_, to approximately half a year. Assume that untreated individuals transmit at _b~u~_ = 0.001, treated at _b~t~_ = 0.0005, and resistant at _b~r~_ = 0.0008. Assume that the duration of the infectious period is 5 days for untreated, 4 days for treated and 5 days for resistant (for those individuals, treatment has no effect). Set the rates _g~i~_ accordingly. Set the number of simulations to 20. Assume nobody receives treatment and no resistance is generated (_f = c~u~ = c~t~ = 0_). With parameters set to correspond to the scenario just described, run the simulation. You should see some simulations with outbreaks and some without. For those _with outbreaks_, you should have around 10-100 susceptible left at the end."	"T1R1"	"Nothing"	"None"	""	""	0	0
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	2	"A) With everything as before, set the initial number of untreated infected hosts to 10. Run the simulations. You should pretty much always get outbreaks. Why do you almost always have outbreaks for this setting and fewer outbreaks/more extinctions for task 1?"	"T2R1"	"The average number of susceptibles left"	"Numeric"	"Report the rounded integer"	""	0	0
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	3	"A) With the same settings as _Task 2_ turn on treatment ( _f_ > 0 ). Set number of simulations to 50 (the simulations might take a few seconds to run). Run the simulation with fraction receiving treatment, _f_, at 0, 0.25, 0.5, 0.75 and 1. Draw conclusions about the usefulness of treatment."	"T3R1"	"The average number of susceptibles at the end (_f_ = 0)"	"Numeric"	"Report the rounded integer"	""	0	0
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	3	"A) With the same settings as _Task 2_ turn on treatment ( _f_ > 0 ). Set number of simulations to 50 (the simulations might take a few seconds to run). Run the simulation with fraction receiving treatment, _f_, at 0, 0.25, 0.5, 0.75 and 1. Draw conclusions about the usefulness of treatment."	"T3R2"	"The average number of susceptibles at the end (_f_ = 0.25)"	"Numeric"	"Report the rounded integer"	""	0	0
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	3	"A) With the same settings as _Task 2_ turn on treatment ( _f_ > 0 ). Set number of simulations to 50 (the simulations might take a few seconds to run). Run the simulation with fraction receiving treatment, _f_, at 0, 0.25, 0.5, 0.75 and 1. Draw conclusions about the usefulness of treatment."	"T3R3"	"The average number of susceptibles at the end (_f_ = 0.5)"	"Numeric"	"Report the rounded integer"	""	0	0
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	3	"A) With the same settings as _Task 2_ turn on treatment ( _f_ > 0 ). Set number of simulations to 50 (the simulations might take a few seconds to run). Run the simulation with fraction receiving treatment, _f_, at 0, 0.25, 0.5, 0.75 and 1. Draw conclusions about the usefulness of treatment."	"T3R4"	"The average number of susceptibles at the end (_f_ = 0.75)"	"Numeric"	"Report the rounded integer"	""	0	0
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	3	"A) With the same settings as _Task 2_ turn on treatment ( _f_ > 0 ). Set number of simulations to 50 (the simulations might take a few seconds to run). Run the simulation with fraction receiving treatment, _f_, at 0, 0.25, 0.5, 0.75 and 1. Draw conclusions about the usefulness of treatment."	"T3R5"	"The average number of susceptibles at the end (_f_ = 1)"	"Numeric"	"Report the rounded integer"	""	0	0
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	4	"A) Now allow resistance to be generated during treatment (_c~t~_ > 0). Set _c~t~ = 0.2_ for the fraction of resistant generation from treatment. Run the simulation for the treatment levels specified in the previous task. Draw conclusions about the usefulness of treatment. In your head or on a piece of paper, sketch out the relationship between treatment level and the number of susceptibles left at the end in the absence and presence of resistance generation (_c~t~_ = 0 and _c~t~_ > 0). What do you conclude from that?"	"T4R1"	"The average number of susceptibles at the end (_f_ = 0)"	"Numeric"	"Report the rounded integer"	""	0	0
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	4	"A) Now allow resistance to be generated during treatment (_c~t~_ > 0). Set _c~t~ = 0.2_ for the fraction of resistant generation from treatment. Run the simulation for the treatment levels specified in the previous task. Draw conclusions about the usefulness of treatment. In your head or on a piece of paper, sketch out the relationship between treatment level and the number of susceptibles left at the end in the absence and presence of resistance generation (_c~t~_ = 0 and _c~t~_ > 0). What do you conclude from that?"	"T4R2"	"The average number of susceptibles at the end (_f_ = 0.25)"	"Numeric"	"Report the rounded integer"	""	0	0
"dsaide_evolutionarydynamics"	"Evolution of Drug Resistance"	"evolutionarydynamics"	4	"A) Now allow resistance to be generated during treatment (_c~t~_ > 0). Set _c~t~ = 0.2_ for the fraction of resistant generation from treatment. Run the simulation for the treatment levels specified in the previous task. Draw conclusions about the usefulness of treatment. In your head or on a piece of paper, sketch out the relationship between treatment level and the number of susceptibles left at the end in the absence and presence of resistance generation (_c~t~_ = 0 and _c~t~_ > 0). What do you conclude from that?"	"T4R3"	"The average number of susceptibles at the end (_f_ = 0.5)"	"Numeric"	"Report the rounded integer"	""	0	0
