"QuizID"	"AppID"	"AppTitle"	"TaskID"	"TaskText"	"RecordID"	"Record"	"Type"	"Note"
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	1	" Start with 1000 susceptible hosts and 1 infected host of type 1. 200 susceptible hosts and 1 infected host of type 2. Simulation duration approximately 5 years. Assume that transmission from host 1 to host 1 is _b~11~ = 0.002_, from host 2 to host 2 is _b~22~ = 0.01_. No transmission from one host type to the other _b~12~ = 0_ and _b~21~ = 0_. Assume that the duration of the infectious period is 1 month long for both types of hosts (i.e. same recovery rate). No waning immunity. Run the simulation and ensure you get outbreaks in both populations with approximately 20% susceptibles left at the end."	"T1R1"	"Number susceptible of type 1 left at end of simulation"	"Rounded_Integer"	"Report the rounded integer"
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	1	" Start with 1000 susceptible hosts and 1 infected host of type 1. 200 susceptible hosts and 1 infected host of type 2. Simulation duration approximately 5 years. Assume that transmission from host 1 to host 1 is _b~11~ = 0.002_, from host 2 to host 2 is _b~22~ = 0.01_. No transmission from one host type to the other _b~12~ = 0_ and _b~21~ = 0_. Assume that the duration of the infectious period is 1 month long for both types of hosts (i.e. same recovery rate). No waning immunity. Run the simulation and ensure you get outbreaks in both populations with approximately 20% susceptibles left at the end."	"T1R2"	"Number susceptible of type 2 left at end of simulation"	"Rounded_Integer"	"Report the rounded integer"
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	2	"Set _b~22~ = 0.02_. Rest as before. Run the simulation. You should get the same outbreak as before among type 1 hosts, a larger outbreak among type 2 hosts. 
For our current choice of parameters, more specifically the transmission rates, it is ok to define and compute separate R~0~ for the two populations. Contemplate why it is ok to do so and compute the two R~0~ values. Use what you know about how R~0~ is defined to compute a theoretical value, then check with the simulation using the final size equation."	"T2R1"	"R0 for type 1 hosts"	"Rounded_Integer"	"Report the rounded integer"
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	2	"Set _b~22~ = 0.02_. Rest as before. Run the simulation. You should get the same outbreak as before among type 1 hosts, a larger outbreak among type 2 hosts. 
For our current choice of parameters, more specifically the transmission rates, it is ok to define and compute separate R~0~ for the two populations. Contemplate why it is ok to do so and compute the two R~0~ values. Use what you know about how R~0~ is defined to compute a theoretical value, then check with the simulation using the final size equation."	"T2R2"	"R0 for type 2 hosts"	"Rounded_Integer"	"Report the rounded integer"
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	3	"Set _b~11~ = 0.001_. Rest as in previous task. Run the simulation. You should get the same outbreak as before among type 2 hosts, but no outbreak among type 1 hosts. Compute the R~0~ values for these settings and convince yourself that the theoretical values and simulation results agree."	"T3R1"	"R0 for type 1 hosts"	"Rounded_Integer"	"Report the rounded integer"
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	3	"Set _b~11~ = 0.001_. Rest as in previous task. Run the simulation. You should get the same outbreak as before among type 2 hosts, but no outbreak among type 1 hosts. Compute the R~0~ values for these settings and convince yourself that the theoretical values and simulation results agree."	"T3R2"	"R0 for type 2 hosts"	"Rounded_Integer"	"Report the rounded integer"
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	4	"Now set the transmission rate to host 1 from host 2 _b~12~ = 0.001_. Everything else unchanged. Run the simulation. You should see an outbreak in both populations. This is an example of a (small) core group driving an outbreak in the larger group. Now that the two groups interact, the simple individual equations for _R~0~_ do not apply anymore. One can compute an overall _R~0~_ for the joint populations, but that is a bit involved and beyond what we want to do here. For more details on that, see e.g. [@keeling08]."	"T4R1"	"Number susceptible of type 1 left at end of simulation"	"Rounded_Integer"	"Report the rounded integer"
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	4	"Now set the transmission rate to host 1 from host 2 _b~12~ = 0.001_. Everything else unchanged. Run the simulation. You should see an outbreak in both populations. This is an example of a (small) core group driving an outbreak in the larger group. Now that the two groups interact, the simple individual equations for _R~0~_ do not apply anymore. One can compute an overall _R~0~_ for the joint populations, but that is a bit involved and beyond what we want to do here. For more details on that, see e.g. [@keeling08]."	"T4R2"	"Number susceptible of type 2 left at end of simulation"	"Rounded_Integer"	"Report the rounded integer"
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	5	"Let's test the idea that the small core group is driving the outbreaks and it's not just because we introduced cross-transmission and that feature alone led to outbreaks in both populations. To do so, set _b~12~_ to 0 and instead set _b~21~ = 0.001_. If it was just due to cross-transmission, we should probably see outbreaks in both populations. If it was a more infectious/transmissible (i.e. higher _R~0~_) core-group driving the outbreak in the less transmissible group, we should not see an outbreak. Run the simulation and interpret the results."	"T5R1"	"Nothing"	"None"	""
"dsaide_hostheterogeneity"	"hostheterogeneity"	"Host heterogeneity"	6	"Set everything as in task 1. Then change transmission rates such that _b~11~_ = _b~22~_ = 0 and _b~12~_ = 0.01, _b~21~_ = 0.002. Note that these are the same values for the transmission terms as in task 1, but we switched to now have zeros for transmission among individuals of the same type and non-zero for transmission between types. Those are the same values used in task 1 for transmission among the same hosts. Contemplate what you expect to see, run the simulation, see if your expectations are confirmed. Compare the results to those from task 1."	"T6R1"	"Number susceptible of type 1 left at end of simulation"	"Rounded_Integer"	"Report the rounded integer"
