"QuizID"	"AppID"	"AppTitle"	"TaskID"	"TaskText"	"RecordID"	"Record"	"Type"	"Note"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	1	"This will be our 'base case'--we'll have no surveillance going on, so that you have a comparison point for when we later include some surveillance. Set the model parameters such that they correspond to the following setting: A population size, _S_, of 1000, 1 initially infected presymptomatic host, _P_, simulation duration _tmax_ = 50 years. Be sure to convert the units to months. Assume that only symptomatic individuals transmit, at rate _bI_ = 0.002. Assume that _gP_ = 5 (the inverse of this parameter is the average duration of the presymptomatic period). Assume that 20% of the infections are asymptomatic--accordingly set _f_ = 0.2. Assume that immunity wanes at a rate _w_ = 1/100. Set the natural death rate, n, to a value that corresponds to an average lifespan of 41 years. Recall that the unit of n needs to be in 1/months. You need to convert lifespan to months, then take the inverse to get the death rate. Round to the first significant digit (i.e. 0.00X). Set the birth rate to _m_ = 5 per month and the death rate _d_ = 0.5. Also assume that no surveillance is done. Accordingly set the surveillance parameters _rP_, _rA_ and _rI_ to zero. With parameters set to correspond to the scenario just described, run the simulation and ensure that you observe oscillations/cycles (i.e. repeated outbreaks). In the diagram for the model, make note of which arrows are present and which are not when you plug in these parameters (for example, the arrows pointing to the 'R' compartment would disappear). Because there is no mechanism for recovery or removal, you should see the number of deaths steadily increase. Additionally, you should see the number of susceptibles oscillate due to the nonzero birth rate parameter."	"T1R1"	"The number of susceptibles left, _S~f~_"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	1	"This will be our 'base case'--we'll have no surveillance going on, so that you have a comparison point for when we later include some surveillance. Set the model parameters such that they correspond to the following setting: A population size, _S_, of 1000, 1 initially infected presymptomatic host, _P_, simulation duration _tmax_ = 50 years. Be sure to convert the units to months. Assume that only symptomatic individuals transmit, at rate _bI_ = 0.002. Assume that _gP_ = 5 (the inverse of this parameter is the average duration of the presymptomatic period). Assume that 20% of the infections are asymptomatic--accordingly set _f_ = 0.2. Assume that immunity wanes at a rate _w_ = 1/100. Set the natural death rate, n, to a value that corresponds to an average lifespan of 41 years. Recall that the unit of n needs to be in 1/months. You need to convert lifespan to months, then take the inverse to get the death rate. Round to the first significant digit (i.e. 0.00X). Set the birth rate to _m_ = 5 per month and the death rate _d_ = 0.5. Also assume that no surveillance is done. Accordingly set the surveillance parameters _rP_, _rA_ and _rI_ to zero. With parameters set to correspond to the scenario just described, run the simulation and ensure that you observe oscillations/cycles (i.e. repeated outbreaks). In the diagram for the model, make note of which arrows are present and which are not when you plug in these parameters (for example, the arrows pointing to the 'R' compartment would disappear). Because there is no mechanism for recovery or removal, you should see the number of deaths steadily increase. Additionally, you should see the number of susceptibles oscillate due to the nonzero birth rate parameter."	"T1R2"	"The final value of the disease induced deaths, _D~f~_"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	2	"Surveillance ensures that diseased individuals are removed from the transmission cycle before they contribute to the next generation of cases. Previously, we assumed that there was no surveillance. Now, assume that there exists a surveillance system that detects only symptomatic infections. Set the rate of surveillance of symptomatic hosts, _rI_ to 0.5. Leave the rest of the settings as in task 1, and run the simulation. Compare this result with the result observed in task 1 so as to understand the effect of surveillance on the course of the epidemic. Pay attention to the y-axis! You should see changes in the number of deaths over time, in the number of susceptibles over time, and of course in the number of removed over time. Why might the number of deaths change as it did?"	"T2R1"	"The number of susceptibles left, _S~f~_"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	2	"Surveillance ensures that diseased individuals are removed from the transmission cycle before they contribute to the next generation of cases. Previously, we assumed that there was no surveillance. Now, assume that there exists a surveillance system that detects only symptomatic infections. Set the rate of surveillance of symptomatic hosts, _rI_ to 0.5. Leave the rest of the settings as in task 1, and run the simulation. Compare this result with the result observed in task 1 so as to understand the effect of surveillance on the course of the epidemic. Pay attention to the y-axis! You should see changes in the number of deaths over time, in the number of susceptibles over time, and of course in the number of removed over time. Why might the number of deaths change as it did?"	"T2R2"	"The final value of the disease induced deaths, _D~f~_"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	3	"Now, let's see what happens when we change values of _rI_. First, plot a graph of _S~f~_ as a function of _rI_ to determine the effect of the extent of surveillance on the number of susceptibles left at the end of the simulation. Then, plot a graph of _D~f~_ as a function of _rI_ to determine the effect of the extent of surveillance on the total number of deaths that occurred. You can make this plot either by hand or in R. If you plot by hand, you'll want to plot a rough trend line. If you want to plot in R, see the DSAIDE Package Tutorial, under the 'Level 2' heading, for an example of how to write the code."	"T3R1"	"Do you see an increasing trend between _rI_ and the number of susceptibles left at the end _S~f~_? (Yes/No)"	"Logical"	"Report Yes or No"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	3	"Now, let's see what happens when we change values of _rI_. First, plot a graph of _S~f~_ as a function of _rI_ to determine the effect of the extent of surveillance on the number of susceptibles left at the end of the simulation. Then, plot a graph of _D~f~_ as a function of _rI_ to determine the effect of the extent of surveillance on the total number of deaths that occurred. You can make this plot either by hand or in R. If you plot by hand, you'll want to plot a rough trend line. If you want to plot in R, see the DSAIDE Package Tutorial, under the 'Level 2' heading, for an example of how to write the code."	"T3R2"	"The number of deaths at the end drops to 0 once _rI_ passes 1 (Yes/No)"	"Logical"	"Report Yes or No"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	4	"Previously, although we had 20% of our infections as asymptomatic, they weren't actually transmitting (recall, _bA_ was set to be 0). Now, let's consider the scenario where they do transmit the infection--and let's see what happens with and without surveillance. Start with the settings in task 2. Consider the case where asymptomatic individuals transmit, and they do so at a rate similar to that of symptomatic hosts (_bA_ = 0.002) but no surveillance for them is done (_rA_ = 0). Run the simulation. Compare _S~f~_ with that in task 2. Note--the only thing we've changed is the number of susceptibles becoming infected (because now they can get infected by both infected symptomatic and infected asymptomatic individuals). What happens to the susceptible population? "	"T4R1"	"The number of susceptibles left, _S~f~_"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	4	"Previously, although we had 20% of our infections as asymptomatic, they weren't actually transmitting (recall, _bA_ was set to be 0). Now, let's consider the scenario where they do transmit the infection--and let's see what happens with and without surveillance. Start with the settings in task 2. Consider the case where asymptomatic individuals transmit, and they do so at a rate similar to that of symptomatic hosts (_bA_ = 0.002) but no surveillance for them is done (_rA_ = 0). Run the simulation. Compare _S~f~_ with that in task 2. Note--the only thing we've changed is the number of susceptibles becoming infected (because now they can get infected by both infected symptomatic and infected asymptomatic individuals). What happens to the susceptible population? "	"T4R1"	"The final value of the disease induced deaths, _D~f~_"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	5	"Then consider the case where a new surveillance system detects asymptomatic cases at the same rate as that of symptomatic cases, i.e., _rA_ = 0.5 in addition to surveillance of symptomatic cases. Also in this case, assume that asymptomatic cases still transmit at a rate similar to that of symptomatic hosts, i.e., _bA_ = 0.002. Run the simulation and compare this result with that in task 4 part 1. Notice now what happens to the susceptible population. A couple other compartments should also change!"	"T5R1"	"The number of susceptibles left, _S~f~_"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_idsurveillance"	"idsurveillance"	"ID Surveillance"	5	"Then consider the case where a new surveillance system detects asymptomatic cases at the same rate as that of symptomatic cases, i.e., _rA_ = 0.5 in addition to surveillance of symptomatic cases. Also in this case, assume that asymptomatic cases still transmit at a rate similar to that of symptomatic hosts, i.e., _bA_ = 0.002. Run the simulation and compare this result with that in task 4 part 1. Notice now what happens to the susceptible population. A couple other compartments should also change!"	"T5R2"	"The final value of the disease induced deaths, _D~f~_"	"Rounded_Integer"	"Report the rounded integer"
