"QuizID"	"AppID"	"AppTitle"	"TaskID"	"TaskText"	"RecordID"	"Record"	"Type"	"Note"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	1	"Set the initial number of infected with pathogen 1 to _I~1~_ = 1, all other infected at zero. Susceptibles at 1000.
Set all transmission rates to 0.001, all recovery rates at 0.5. Set fraction of pathogen 1 infections to _a=0.5_.
Run the simulation for 100 days. Check that you only get a single outbreak with pathogen 1, with a peak of around 154 infected. Now set initial number of infected with pathogen 1 to 0, with pathogen 2 to 1. Run the simulation and check that you get exactly the same size outbreak with pathogen 2. The number susceptible left at the end of each outbreak is the same. This finding should not surprise you: In the presence of only a single pathogen, you can only get an outbreak caused by that pathogen. For both pathogens to infect hosts, both need to be present."	"T1R1"	"Number susceptible left at end of simulation"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	2	"Leave everything as before but now start with 1 infected for both pathogen 1 and 2. You should see outbreaks for both pathogens with the same dynamics (in fact, you won't see the curves for _I~1~_, _R~1~_, etc. since they are covered by the curves for _I~2~_, _R~2~_.) If you compare the peak number of infected for either _I~1~_ or _I~2~_ to the value you found in the previous task, you will notice it is lower (around 80). The two pathogens are competing for susceptible hosts, thus neither can cause quite as big an outbreak when both pathogens are present than when only one of them is present. However, the 2 outbreaks together lead to more total infections, which you can confirm by looking at the final number of susceptible and comparing to the previous task."	"T2R1"	"Number susceptible left at end of simulation"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	3	"It basically never the case that two pathogens are the same in their transmission rates, recovery rates, starting values, etc. Let's mimic a more realistic scenario by adjusting the settings for pathogen 1. Double _b~1~_ to 0.002, keep the remaining parameters as before. Now pathogen 1 is twice as tranmissible as pathogen 2, thus we should expect it to dominate. Run the simulation and look at the peak infected for pathogen 1 and 2 to confirm that this is the case. As you have encountered many times previously, things are not linear, i.e. the fact that pathogen 1 is twice as transmissible than pathogen 2 does not lead to a peak for pathogen 1 that is twice as large as that for pathogen 1, in fact the difference is much larger, almost 100-fold and pathogen 1 completely dominates."	"T3R1"	"Maximum number infected with pathogen 1"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	3	"It basically never the case that two pathogens are the same in their transmission rates, recovery rates, starting values, etc. Let's mimic a more realistic scenario by adjusting the settings for pathogen 1. Double _b~1~_ to 0.002, keep the remaining parameters as before. Now pathogen 1 is twice as tranmissible as pathogen 2, thus we should expect it to dominate. Run the simulation and look at the peak infected for pathogen 1 and 2 to confirm that this is the case. As you have encountered many times previously, things are not linear, i.e. the fact that pathogen 1 is twice as transmissible than pathogen 2 does not lead to a peak for pathogen 1 that is twice as large as that for pathogen 1, in fact the difference is much larger, almost 100-fold and pathogen 1 completely dominates."	"T3R2"	"Maximum number infected with pathogen 2"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	4	"Now also double the rate of recovery for pathogen 1 to _g~1~_ = 1. Recall that in this simple SIR model, for just a single pathogen _i_ (if the other one isn't present) the reproductive number is _S~0~b~i~_/_g~i~_. This means that pathogen 1 and 2 have now the same reproductive number (pathogen 1 has both a doubled transmission and recovery rate.) Given that they have the same reproductive number, do you expect to see outbreaks for the two pathogens of the same size? Once you contemplated what to expect, check by running the simulation."	"T4R1"	"Maximum number infected with pathogen 1"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	4	"Now also double the rate of recovery for pathogen 1 to _g~1~_ = 1. Recall that in this simple SIR model, for just a single pathogen _i_ (if the other one isn't present) the reproductive number is _S~0~b~i~_/_g~i~_. This means that pathogen 1 and 2 have now the same reproductive number (pathogen 1 has both a doubled transmission and recovery rate.) Given that they have the same reproductive number, do you expect to see outbreaks for the two pathogens of the same size? Once you contemplated what to expect, check by running the simulation."	"T4R2"	"Maximum number infected with pathogen 2"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	5	"You should have found in the previous task that despite the same reproductive number values, pathogen 1 causes a larger outbreak. If this is confusing, recall that _R~0~_ says nothing about the speed of spread of a pathogen, only its infectiousness (how many new infections are produced by one infected host). If there is competition for hosts, a pathogen that spreads faster (pathogen 1 here) is advantaged. If none of that sounds familiar, you might want to revisit the reproductive number apps. We can give pathogen 2 a bit of a boost by letting it start with more initial infected. Let's see what that does. Set _I~2~_ = 10, keep everything else the same. Run the simulation. You'll find that the peaks for the infected for the 2 pathogens are getting closer. It's like in a race where runner 1 is faster, but runner 2 gets to start a distance ahead of runner 1. The initial difference in starting distance, the speed of the 2 runners, and the length of the race all determine the overall result. Feel free to explore a bit more how different initial values and transmission/recovery rates affect the competition between the 2 pathogens."	"T5R1"	"Maximum number infected with pathogen 1"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	5	"You should have found in the previous task that despite the same reproductive number values, pathogen 1 causes a larger outbreak. If this is confusing, recall that _R~0~_ says nothing about the speed of spread of a pathogen, only its infectiousness (how many new infections are produced by one infected host). If there is competition for hosts, a pathogen that spreads faster (pathogen 1 here) is advantaged. If none of that sounds familiar, you might want to revisit the reproductive number apps. We can give pathogen 2 a bit of a boost by letting it start with more initial infected. Let's see what that does. Set _I~2~_ = 10, keep everything else the same. Run the simulation. You'll find that the peaks for the infected for the 2 pathogens are getting closer. It's like in a race where runner 1 is faster, but runner 2 gets to start a distance ahead of runner 1. The initial difference in starting distance, the speed of the 2 runners, and the length of the race all determine the overall result. Feel free to explore a bit more how different initial values and transmission/recovery rates affect the competition between the 2 pathogens."	"T5R2"	"Maximum number infected with pathogen 2"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	6	"Next, we'll allow for a difference between the 2 pathogens by assuming that if a host is double infected, they are more likely to transmit one of the pathogens to an uninfected host. Set all values as in task 1 (I~1~ = I~2~ = 1, all transmission rates 0.001, all recovery rates 0.5). Then set _a_ = 0.9. This means that a double-infected host will mainly transmit pathogen 1 to other hosts. Thus we should expect pathogen 1 to have an advantage. Run the simulation to confirm this."	"T6R1"	"Maximum number infected with pathogen 1"	"Rounded_Integer"	"Report the rounded integer"
"DSAIDE_multipathogen"	"multipathogen"	"Multi-Pathogen Dynamics"	6	"Next, we'll allow for a difference between the 2 pathogens by assuming that if a host is double infected, they are more likely to transmit one of the pathogens to an uninfected host. Set all values as in task 1 (I~1~ = I~2~ = 1, all transmission rates 0.001, all recovery rates 0.5). Then set _a_ = 0.9. This means that a double-infected host will mainly transmit pathogen 1 to other hosts. Thus we should expect pathogen 1 to have an advantage. Run the simulation to confirm this."	"T6R2"	"Maximum number infected with pathogen 2"	"Rounded_Integer"	"Report the rounded integer"
